id,name
14746,heuristic_079.hgr
14747,heuristic_041.hgr
14748,heuristic_090.hgr
14749,heuristic_038.hgr
14750,heuristic_073.hgr
14751,heuristic_074.hgr
14752,heuristic_040.hgr
14753,heuristic_018.hgr
14754,heuristic_045.hgr
14755,heuristic_004.hgr
14756,heuristic_039.hgr
14757,heuristic_020.hgr
14758,heuristic_037.hgr
14759,heuristic_054.hgr
14760,heuristic_066.hgr
14761,heuristic_013.hgr
14762,heuristic_011.hgr
14763,heuristic_012.hgr
14764,heuristic_095.hgr
14765,heuristic_016.hgr
14766,heuristic_030.hgr
14767,heuristic_034.hgr
14768,heuristic_049.hgr
14769,heuristic_007.hgr
14770,heuristic_063.hgr
14771,heuristic_094.hgr
14772,heuristic_014.hgr
14773,heuristic_055.hgr
14774,heuristic_019.hgr
14775,heuristic_044.hgr
14776,heuristic_080.hgr
14777,heuristic_028.hgr
14778,heuristic_042.hgr
14779,heuristic_050.hgr
14780,heuristic_006.hgr
14781,heuristic_099.hgr
14782,heuristic_091.hgr
14783,heuristic_061.hgr
14784,heuristic_065.hgr
14785,heuristic_070.hgr
14786,heuristic_098.hgr
14787,heuristic_032.hgr
14788,heuristic_076.hgr
14789,heuristic_047.hgr
14790,heuristic_078.hgr
14791,heuristic_097.hgr
14792,heuristic_033.hgr
14793,heuristic_003.hgr
14794,heuristic_077.hgr
14795,heuristic_002.hgr
14796,heuristic_086.hgr
14797,heuristic_024.hgr
14798,heuristic_029.hgr
14799,heuristic_067.hgr
14800,heuristic_100.hgr
14801,heuristic_093.hgr
14802,heuristic_017.hgr
14803,heuristic_064.hgr
14804,heuristic_088.hgr
14805,heuristic_046.hgr
14806,heuristic_010.hgr
14807,heuristic_015.hgr
14808,heuristic_069.hgr
14809,heuristic_021.hgr
14810,heuristic_053.hgr
14811,heuristic_043.hgr
14812,heuristic_025.hgr
14813,heuristic_056.hgr
14814,heuristic_092.hgr
14815,heuristic_068.hgr
14816,heuristic_059.hgr
14817,heuristic_048.hgr
14818,heuristic_083.hgr
14819,heuristic_001.hgr
14820,heuristic_096.hgr
14821,heuristic_062.hgr
14822,heuristic_051.hgr
14823,heuristic_060.hgr
14824,heuristic_058.hgr
14825,heuristic_087.hgr
14826,heuristic_009.hgr
14827,heuristic_084.hgr
14828,heuristic_052.hgr
14829,heuristic_072.hgr
14830,heuristic_071.hgr
14831,heuristic_036.hgr
14832,heuristic_035.hgr
14833,heuristic_075.hgr
14834,heuristic_008.hgr
14835,heuristic_082.hgr
14836,heuristic_057.hgr
14837,heuristic_031.hgr
14838,heuristic_027.hgr
14839,heuristic_089.hgr
14840,heuristic_081.hgr
14841,heuristic_085.hgr
14842,heuristic_026.hgr
14843,heuristic_005.hgr
14844,heuristic_023.hgr
14845,heuristic_022.hgr
