id,name
14441,exact_087.gr
14442,exact_021.gr
14443,exact_085.gr
14444,exact_041.gr
14445,exact_062.gr
14446,exact_083.gr
14447,exact_002.gr
14448,exact_050.gr
14449,exact_014.gr
14450,exact_097.gr
14451,exact_056.gr
14452,exact_044.gr
14453,exact_001.gr
14454,exact_035.gr
14455,exact_088.gr
14456,exact_036.gr
14457,exact_068.gr
14458,exact_075.gr
14459,exact_015.gr
14460,exact_034.gr
14461,exact_060.gr
14462,exact_030.gr
14463,exact_079.gr
14464,exact_054.gr
14465,exact_072.gr
14466,exact_020.gr
14467,exact_039.gr
14468,exact_019.gr
14469,exact_023.gr
14470,exact_013.gr
14471,exact_089.gr
14472,exact_078.gr
14473,exact_004.gr
14474,exact_022.gr
14475,exact_099.gr
14476,exact_045.gr
14477,exact_063.gr
14478,exact_070.gr
14479,exact_051.gr
14480,exact_031.gr
14481,exact_100.gr
14482,exact_076.gr
14483,exact_033.gr
14484,exact_057.gr
14485,exact_028.gr
14486,exact_080.gr
14487,exact_007.gr
14488,exact_047.gr
14489,exact_012.gr
14490,exact_011.gr
14491,exact_067.gr
14492,exact_026.gr
14493,exact_053.gr
14494,exact_018.gr
14495,exact_091.gr
14496,exact_073.gr
14497,exact_032.gr
14498,exact_055.gr
14499,exact_052.gr
14500,exact_092.gr
14501,exact_009.gr
14502,exact_003.gr
14503,exact_095.gr
14504,exact_029.gr
14505,exact_037.gr
14506,exact_084.gr
14507,exact_049.gr
14508,exact_069.gr
14509,exact_071.gr
14510,exact_096.gr
14511,exact_005.gr
14512,exact_066.gr
14513,exact_093.gr
14514,exact_090.gr
14515,exact_098.gr
14516,exact_074.gr
14517,exact_042.gr
14518,exact_059.gr
14519,exact_010.gr
14520,exact_006.gr
14521,exact_025.gr
14522,exact_081.gr
14523,exact_077.gr
14524,exact_046.gr
14525,exact_027.gr
14526,exact_086.gr
14527,exact_038.gr
14528,exact_043.gr
14529,exact_058.gr
14530,exact_048.gr
14531,exact_008.gr
14532,exact_094.gr
14533,exact_064.gr
14534,exact_061.gr
14535,exact_082.gr
14536,exact_065.gr
14537,exact_040.gr
14538,exact_016.gr
14539,exact_024.gr
14540,exact_017.gr
