id,name
14646,exact_068.hgr
14647,exact_089.hgr
14648,exact_047.hgr
14649,exact_059.hgr
14650,exact_062.hgr
14651,exact_036.hgr
14652,exact_033.hgr
14653,exact_012.hgr
14654,exact_043.hgr
14655,exact_052.hgr
14656,exact_032.hgr
14657,exact_093.hgr
14658,exact_092.hgr
14659,exact_051.hgr
14660,exact_021.hgr
14661,exact_057.hgr
14662,exact_067.hgr
14663,exact_022.hgr
14664,exact_037.hgr
14665,exact_053.hgr
14666,exact_019.hgr
14667,exact_050.hgr
14668,exact_074.hgr
14669,exact_041.hgr
14670,exact_094.hgr
14671,exact_082.hgr
14672,exact_100.hgr
14673,exact_055.hgr
14674,exact_090.hgr
14675,exact_075.hgr
14676,exact_049.hgr
14677,exact_097.hgr
14678,exact_045.hgr
14679,exact_073.hgr
14680,exact_048.hgr
14681,exact_099.hgr
14682,exact_095.hgr
14683,exact_013.hgr
14684,exact_015.hgr
14685,exact_063.hgr
14686,exact_083.hgr
14687,exact_078.hgr
14688,exact_026.hgr
14689,exact_039.hgr
14690,exact_065.hgr
14691,exact_007.hgr
14692,exact_086.hgr
14693,exact_006.hgr
14694,exact_054.hgr
14695,exact_066.hgr
14696,exact_028.hgr
14697,exact_080.hgr
14698,exact_031.hgr
14699,exact_056.hgr
14700,exact_029.hgr
14701,exact_042.hgr
14702,exact_017.hgr
14703,exact_087.hgr
14704,exact_085.hgr
14705,exact_070.hgr
14706,exact_076.hgr
14707,exact_084.hgr
14708,exact_024.hgr
14709,exact_035.hgr
14710,exact_001.hgr
14711,exact_077.hgr
14712,exact_040.hgr
14713,exact_008.hgr
14714,exact_018.hgr
14715,exact_060.hgr
14716,exact_058.hgr
14717,exact_091.hgr
14718,exact_025.hgr
14719,exact_064.hgr
14720,exact_023.hgr
14721,exact_081.hgr
14722,exact_034.hgr
14723,exact_061.hgr
14724,exact_005.hgr
14725,exact_098.hgr
14726,exact_020.hgr
14727,exact_014.hgr
14728,exact_003.hgr
14729,exact_071.hgr
14730,exact_088.hgr
14731,exact_069.hgr
14732,exact_011.hgr
14733,exact_016.hgr
14734,exact_079.hgr
14735,exact_027.hgr
14736,exact_038.hgr
14737,exact_004.hgr
14738,exact_046.hgr
14739,exact_044.hgr
14740,exact_030.hgr
14741,exact_010.hgr
14742,exact_009.hgr
14743,exact_072.hgr
14744,exact_096.hgr
14745,exact_002.hgr
